year,DEP,Ludovic_proportion,Jean_proportion,Victor_proportion,Marie_proportion,Jeanne_proportion,Sophie_proportion
1900,01,0,0.107784431137725,0.0134730538922156,0.347849755035384,0.0729450190528035,0
1901,01,0,0.0897196261682243,0.0149532710280374,0.36988377968671,0.0798383021728146,0
1902,01,0,0.103426791277259,0.011214953271028,0.352972399150743,0.0711252653927813,0
1903,01,0,0.0844360428481411,0.0100819155639572,0.356192425793245,0.0731832139201638,0
1904,01,0,0.0920245398773006,0.0159509202453988,0.324582338902148,0.073508353221957,0
1905,01,0,0.0976470588235294,0.0105882352941176,0.325511732401398,0.072391412880679,0
1906,01,0,0.0999422299248989,0.0138648180242634,0.301548886737657,0.0706679574056147,0
1907,01,0,0.0872524752475247,0.0142326732673267,0.286973555337904,0.0626836434867777,0
1908,01,0,0.0974842767295598,0.009958071278826,0.284664380205781,0.0646741793238609,0
1909,01,0,0.0867482703565726,0.00904736562001064,0.277204502814259,0.0684803001876173,0
1910,01,0,0.0842583249243189,0.0065590312815338,0.286330935251799,0.0738609112709832,0
1911,01,0,0.0837411636759108,0.0141381185426862,0.264430192402565,0.0680809077454366,0
1912,01,0,0.0911708253358925,0.00623800383877159,0.254071661237785,0.068869241507678,0
1913,01,0,0.0891625615763547,0.012807881773399,0.24502712477396,0.0565099457504521,0
1914,01,0,0.0786749482401656,0.0098343685300207,0.259019426456984,0.0703052728954672,0
1915,01,0,0.096551724137931,0.00862068965517241,0.237458193979933,0.0744147157190636,0
1916,01,0,0.104046242774566,0.0069364161849711,0.206974128233971,0.0753655793025872,0
1917,01,0,0.0985365853658537,0.00975609756097561,0.192269573835481,0.0723488602576809,0
1918,01,0,0.0895522388059701,0.00942655145326002,0.187550525464834,0.0598221503637833,0
1919,01,0,0.0837581937363438,0.00655498907501821,0.179699248120301,0.0593984962406015,0
1920,01,0,0.0813240702901512,0.00572129137719657,0.179190751445087,0.0495458298926507,0
1921,01,0,0.0804255319148936,0.00808510638297872,0.155778894472362,0.0531825795644891,0
1922,01,0,0.0866666666666667,0.004,0.155592935239697,0.0546677880571909,0
1923,01,0,0.0863373386737873,0.00489541611036938,0.144075403949731,0.0484739676840215,0
1924,01,0,0.088124410933082,0.0056550424128181,0.133570792520036,0.0409617097061443,0
1925,01,0,0.0963800904977376,0.00271493212669683,0.118735891647856,0.0374717832957111,0
1926,01,0,0.0977443609022556,0.00442282176028306,0.119491525423729,0.0355932203389831,0
1927,01,0,0.0886607559496034,0.00373308446103593,0.104046242774566,0.0284570920409071,0
1928,01,0,0.0934240362811791,0.0054421768707483,0.113989637305699,0.022020725388601,0
1929,01,0,0.102267468764461,0.003701989819528,0.112903225806452,0.0299539170506912,0
1930,01,0,0.101049868766404,0.00568678915135608,0.10467706013363,0.0240534521158129,0
1931,01,0,0.101224105461394,0.00329566854990584,0.108303249097473,0.0221119133574007,0
1932,01,0,0.0978062157221207,0.00182815356489945,0.0927364093193239,0.0169026952946551,0
1933,01,0,0.0988904968644477,0.00482392667631452,0.0861478218306412,0.0181106216348507,0
1934,01,0,0.10176322418136,0.0035264483627204,0.100884035361414,0.0202808112324493,0
1935,01,0,0.112299465240642,0.00213903743315508,0.0823045267489712,0.014917695473251,0
1936,01,0,0.0970976253298153,0.00369393139841689,0.0744908896034298,0.0160771704180064,0
1937,01,0,0.107102593010147,0.00169109357384442,0.0888157894736842,0.0158991228070175,0
1938,01,0,0.11697247706422,0.00229357798165138,0.0679182771949199,0.0121479845389288,0
1939,01,0,0.122351694915254,0.00158898305084746,0.093363329583802,0.0118110236220472,0
1940,01,0,0.137178051511758,0,0.101803374054683,0.0110529377545084,0
1941,01,0,0.139247311827957,0.00161290322580645,0.0826952526799387,0.00918836140888208,0
1942,01,0,0.143661971830986,0,0.0881913303437967,0.00448430493273543,0
1943,01,0,0.11968434896975,0.00263042525208242,0.080659945004583,0.0073327222731439,0
1944,01,0,0.138135593220339,0,0.0871160018340211,0.00412654745529574,0
1945,01,0,0.14199535962877,0,0.0921117099461048,0.00293973542381186,0
1946,01,0,0.131728045325779,0,0.0790498442367601,0.00272585669781931,0
1947,01,0,0.0718020216103172,0,0.0657992565055762,0.00223048327137546,0
1948,01,0,0.0703883495145631,0,0.0586319218241042,0.00217155266015201,0
1949,01,0,0.100959829363669,0.00106647707074298,0.0755287009063444,0.00415407854984894,0
1950,01,0,0.101720269259536,0,0.0574803149606299,0.0015748031496063,0
1951,01,0,0.11031746031746,0,0.0766638584667228,0.0016849199663016,0
1952,01,0,0.113535353535354,0,0.0771219302024989,0.001292546316243,0
